32,Unternehmer*innen für eine grüne Wirtschaft (Grüne),GPS,0,9405,0.792563304,luzern
31,SVP International,SVP,0,2333,0.196602891,luzern
30,LU-Biker SVP,SVP,0,2818,0.237474045,luzern
25,CSV Christlichsoziale Vereinigung (CVP),CVP,0,4791,0.403739584,luzern
26,CVP Frauen,CVP,0,4713,0.397166491,luzern
22,FDP-Frauen Kanton Luzern,FDP,0,11425,0.962789553,luzern
20,Junge Schweizerische Volkspartei (JSVP),SVP,0,2755,0.232165008,luzern
17,SP 60+,SP,0,5890,0.496352776,luzern
15,Junge Grünliberale Partei (jglp),GLP,0,9936,0.837310897,luzern
12a,JungsozialistInnen und Junge Linke (JUSOplus)-Stadt Luzern,SP,0,3516,0.296294798,luzern
12b,JungsozialistInnen und Junge Linke (JUSOplus)-Land und Agglomeration,SP,0,1722,0.145113664,luzern
23,AWG Arbeitsgemeinschaft Wirtschaft und Gesellschaft (CVP),CVP,0,3418,0.288036297,luzern
14,Integrale Politik (IP),Übrige,0,5945,0.500987649,luzern
24,Klimaschutz (CVP),CVP,0,13388,1.128212388,luzern
13,Jungfreisinnige (JFLU),FDP,0,4092,0.34483456,luzern
9a,Junge Christlichdemokratische Volkspartei (JCVP) a,CVP,0,6474,0.545566702,luzern
9b,Junge Christlichdemokratische Volkspartei (JCVP) b,CVP,0,6268,0.528206995,luzern
8,Junge Grüne,GPS,0,11963,1.008127039,luzern
29,Büezer und Bauern JSVP,SVP,0,3242,0.273204703,luzern
10,Evangelische Volkspartei (EVP),EVP,0,8451,0.712169323,luzern
6,FDP.Die Liberalen Luzern,FDP,1,169105,14.25054944,luzern
5,Christlichdemokratische Volkspartei (CVP),CVP,3,248219,20.91751948,luzern
27,Luzerner Bauernliste (CVP),CVP,0,15209,1.281668824,luzern
4,Grünliberale Partei (glp),GLP,1,72066,6.073032117,luzern
11,SP – Second@s Plus und MigrantInnen,SP,0,5894,0.496689858,luzern
1,Grüne,GPS,1,123739,10.42753755,luzern
7,Aktive Senioren Luzern (SVP),SVP,0,8087,0.68149489,luzern
28,SVP-Frauen für Stadt und Land,SVP,0,2948,0.248429199,luzern
2,Schweizerische Volkspartei (SVP),SVP,2,271467,22.87663822,luzern
3,Sozialdemokratische Partei (SP) und Gewerkschaften,SP,1,142369,11.99749548,luzern
3,Simon Stadler (Christlichdemokratische Volkspartei der Schweiz),CVP,1,4685,39.20502092,uri
1,Pascal Blöchlinger (Schweizerische Volkspartei),SVP,0,4341,36.32635983,uri
99,Vereinzelte / Autres / Altri,Übrige,0,265,2.217573222,uri
2,Urs Kälin (Sozialdemokratische Partei der Schweiz),SP,0,2659,22.25104603,uri
21,Vorwärts Schwyz! Mobilität mit Zukunft.,FDP,0,1581,0.77528123,schwyz
18,EVP Evangelische Volkspartei,EVP,0,1229,0.602669596,schwyz
17,Schwyz für alle,SP,0,1497,0.734089817,schwyz
16,Schweizerische Volkspartei Kanton Schwyz,SVP,2,72036,35.32457852,schwyz
15,Generation 60plus,SP,0,1043,0.511460039,schwyz
10,Junge Grünliberale – jglp Kanton Schwyz,GLP,0,3059,1.500053941,schwyz
11,JUSOplus,SP,0,1668,0.817943764,schwyz
13,Liste für Kultur,SP,0,1415,0.693879152,schwyz
12,Gewerkschaftsbund Kanton Schwyz,SP,0,1426,0.699273266,schwyz
9,Grünliberale – GLP Kanton Schwyz,GLP,0,6289,3.083961829,schwyz
8,Junge Schweizerische Volkspartei Kanton Schwyz (JSVP),SVP,0,3198,1.568215922,schwyz
14,Jungfreisinnige Kanton Schwyz,FDP,0,720,0.353069251,schwyz
7,Gemeinsam fürs Schwyzer Gewerbe,FDP,0,2793,1.369614468,schwyz
6,FDP.Die Liberalen Kanton Schwyz,FDP,1,39803,19.5183547,schwyz
19,Umwelt.Die Liberalen,FDP,0,2206,1.081764954,schwyz
